Record;[0];[0]\[3];[1]\[3];FULL;QNAM;[2]\[2]\[0]\[0];RNAM
67110930;DialogueWinterholdCollegeAYOPAccept "Thank you. I will lead the College to greatness." [DIAL:FE021811];;[INFO:FE021812] (in GRUP Topic Children of DialogueWinterholdCollegeAYOPAccept "Thank you. I will lead the College to greatness." [DIAL:FE021811]);;;;
67110929;;DialogueWinterholdCollegeAYOPAccept "Thank you. I will lead the College to greatness." [DIAL:FE021811];;Thank you. I will lead the College to greatness.;DialogueWinterholdCollege "Winterhold College Dialogue" [QUST:0003618F];;
67110928;DialogueWinterholdCollegeAYOPRefuse "You should be Archmage, I don't want the position." [DIAL:FE02180F];;[INFO:FE021810] (in GRUP Topic Children of DialogueWinterholdCollegeAYOPRefuse "You should be Archmage, I don't want the position." [DIAL:FE02180F]);;;TIF__06005910;
67110927;;DialogueWinterholdCollegeAYOPRefuse "You should be Archmage, I don't want the position." [DIAL:FE02180F];;You should be Archmage, I don't want the position.;DialogueWinterholdCollege "Winterhold College Dialogue" [QUST:0003618F];;
67110922;AYOPMGQuestTolfdirBranch1Topic "Do you have any more lessons planned for us?" [DIAL:FE021808];;[INFO:FE02180A] (in GRUP Topic Children of AYOPMGQuestTolfdirBranch1Topic "Do you have any more lessons planned for us?" [DIAL:FE021808]);;;TIF__0600FB0A;I am looking for work. Is the College looking for help with anything?
67110921;AYOPMGQuestTolfdirBranch1Topic "Do you have any more lessons planned for us?" [DIAL:FE021808];;[INFO:FE021809] (in GRUP Topic Children of AYOPMGQuestTolfdirBranch1Topic "Do you have any more lessons planned for us?" [DIAL:FE021808]);;;TIF__0600FB09;
67110920;;AYOPMGQuestTolfdirBranch1Topic "Do you have any more lessons planned for us?" [DIAL:FE021808];;Do you have any more lessons planned for us?;AYOPMGQuest "AYOPMGQuest" [QUST:FE021804];;
67110918;AYOPMGQuestTolfdirShared1Saarthal "AYOPMGQuestTolfdirShared1Saarthal" [DIAL:FE021805];;AYOPMGQuestTolfdirShared1SaarthalTopic [INFO:FE021806] ('The College has undertaken a fascinating excavation in the ruins of Saarthal nearby. It's an excellent learning opportunity.' in GRUP Topic Children of AYOPMGQuestTolfdirShared1Saarthal "AYOPMGQuestTolfdirShared1Saarthal" [DIAL:FE021805]);;;;
67110917;;AYOPMGQuestTolfdirShared1Saarthal "AYOPMGQuestTolfdirShared1Saarthal" [DIAL:FE021805];;AYOPMGQuestTolfdirShared1Saarthal;AYOPMGQuest "AYOPMGQuest" [QUST:FE021804];;
50553118;DLC2TelMithrynArchmage "As the Arch-Mage of Winterhold, you and I should share our secrets." [DIAL:04036114];;[INFO:0403611E] ([G]'Winterhold? That small college that is falling into the Sea of Ghosts?' in GRUP Topic Children of DLC2TelMithrynArchmage "As the Arch-Mage of Winterhold, you and I should share our secrets." [DIAL:04036114]);;;;
50553108;;DLC2TelMithrynArchmage "As the Arch-Mage of Winterhold, you and I should share our secrets." [DIAL:04036114];;As the Arch-Mage of Winterhold, you and I should share our secrets.;DLC2DialogueTelMithryn [QUST:04017E85];;
33570196;RelationshipAdoptableOrphanage_Q3c [DIAL:03003D2D];;[INFO:03003D94] (in GRUP Topic Children of RelationshipAdoptableOrphanage_Q3c [DIAL:03003D2D]);;;;I'm Arch-Mage of the College of Winterhold.
33570093;;RelationshipAdoptableOrphanage_Q3c [DIAL:03003D2D];;;BYOHRelationshipAdoptableOrphanage [QUST:03004286];;
16852683;;DLC1VQElderUragBranchTopic02d "I defeated Ancano. It's 2,000 coins." [DIAL:020126CB];;I defeated Ancano. It's 2,000 coins.;DLC1VQElder "Seeking Disclosure" [QUST:02005DA9];;
67110926;DialogueWinterholdCollegeTolfdirPostForcegreetTopic [DIAL:00107E36];;[INFO:FE02180E] ('You've done it! The College is safe again, thanks to your work.' in GRUP Topic Children of DialogueWinterholdCollegeTolfdirPostForcegreetTopic [DIAL:00107E36]);;;TIF__0600590E;
1080893;DialogueWinterholdCollegeTolfdirPostForcegreetTopic [DIAL:00107E36];;[INFO:00107E3D] ('You've done it! The College is safe again, thanks to your work.' in GRUP Topic Children of DialogueWinterholdCollegeTolfdirPostForcegreetTopic [DIAL:00107E36]);;;TIF__00107E3D;
1080886;;DialogueWinterholdCollegeTolfdirPostForcegreetTopic [DIAL:00107E36];;;DialogueWinterholdCollege "Winterhold College Dialogue" [QUST:0003618F];;
1079985;MG03AncanoForcegreetBranchTopic [DIAL:00107AAB];;[INFO:00107AB1] ('You there. I have questions for you.' in GRUP Topic Children of MG03AncanoForcegreetBranchTopic [DIAL:00107AAB]);;;;
1079979;;MG03AncanoForcegreetBranchTopic [DIAL:00107AAB];;;MG03 "Hitting the Books" [QUST:0001F253];;
794198;[DIAL:000C1E2E];;[INFO:000C1E56] ('I wonder... what effect might your spells have?' in GRUP Topic Children of [DIAL:000C1E2E]);;;TIF__000C1E56;
794158;;[DIAL:000C1E2E];;;MG02 "Under Saarthal" [QUST:0001F252];;
753932;MG01FaraldaEntryPersuade "I would just like to visit the college. I won't be any trouble." [DIAL:000B8106];;[INFO:000B810C] ('You know, I think you're right.' in GRUP Topic Children of MG01FaraldaEntryPersuade "I would just like to visit the college. I won't be any trouble." [DIAL:000B8106]);;;TIF__000B810C;
753926;;MG01FaraldaEntryPersuade "I would just like to visit the college. I won't be any trouble." [DIAL:000B8106];;I would just like to visit the college. I won't be any trouble.;MG01 "First Lessons" [QUST:0001F251];;
753945;MG01FaraldaYoureInBranchTopic [DIAL:000B8102];;[INFO:000B8119] ([G]'I'll lead you across the bridge. Once you're inside you'll want to speak with Mirabelle Ervine, our Master Wizard. Please, follow me.' in GRUP Topic Children of MG01FaraldaYoureInBranchTopic [DIAL:000B8102]);;;TIF__000B8119;
753922;;MG01FaraldaYoureInBranchTopic [DIAL:000B8102];;;MG01 "First Lessons" [QUST:0001F251];;
717028;MG01FaraldaBridgeForcegreetBranchTopic [DIAL:000AF0DE];;[INFO:000AF0E4] ([SO]'Cross the bridge at your own peril!' in GRUP Topic Children of MG01FaraldaBridgeForcegreetBranchTopic [DIAL:000AF0DE]);;;TIF__000AF0E4;
717022;;MG01FaraldaBridgeForcegreetBranchTopic [DIAL:000AF0DE];;;MG01 "First Lessons" [QUST:0001F251];;
753940;MG01FaraldaInitialBranchTopic [DIAL:000AF0DD];;[INFO:000B8114] ('Is there some way I can assist you?' in GRUP Topic Children of MG01FaraldaInitialBranchTopic [DIAL:000AF0DD]);;;;
717027;MG01FaraldaInitialBranchTopic [DIAL:000AF0DD];;[INFO:000AF0E3] ([SO]'Welcome to the College of Winterhold. I am Faralda, one of the senior Wizards here.' in GRUP Topic Children of MG01FaraldaInitialBranchTopic [DIAL:000AF0DD]);;;TIF__000AF0E3;
717021;;MG01FaraldaInitialBranchTopic [DIAL:000AF0DD];;;MG01 "First Lessons" [QUST:0001F251];;
717026;MG01FaraldaInitResponse1 "What is this place?" [DIAL:000AF0DC];;[INFO:000AF0E2] ('Oh, forgive me.' in GRUP Topic Children of MG01FaraldaInitResponse1 "What is this place?" [DIAL:000AF0DC]);;;;
717020;;MG01FaraldaInitResponse1 "What is this place?" [DIAL:000AF0DC];;What is this place?;MG01 "First Lessons" [QUST:0001F251];;
717025;MG01FaraldaInitResponse2 "Why would I want to complain about the College?" [DIAL:000AF0DB];;[INFO:000AF0E1] ('It is no great secret that we have been unjustly blamed for a great many things over the years.' in GRUP Topic Children of MG01FaraldaInitResponse2 "Why would I want to complain about the College?" [DIAL:000AF0DB]);;;TIF__000AF0E1;
717019;;MG01FaraldaInitResponse2 "Why would I want to complain about the College?" [DIAL:000AF0DB];;Why would I want to complain about the College?;MG01 "First Lessons" [QUST:0001F251];;
717024;MG01FaraldaInitResponse3 "Why are you out here?" [DIAL:000AF0DA];;[INFO:000AF0E0] ('I am here to assist those seeking the wisdom of the College.' in GRUP Topic Children of MG01FaraldaInitResponse3 "Why are you out here?" [DIAL:000AF0DA]);;;;
717018;;MG01FaraldaInitResponse3 "Why are you out here?" [DIAL:000AF0DA];;Why are you out here?;MG01 "First Lessons" [QUST:0001F251];;
753935;MG01FaraldaEntryBranchIntro "May I enter the College?" [DIAL:000AF0D8];;[INFO:000B810F] ([SO]'It would seem that the College has what you seek. The question now is what can you offer the College?' in GRUP Topic Children of MG01FaraldaEntryBranchIntro "May I enter the College?" [DIAL:000AF0D8]);;;;
717016;;MG01FaraldaEntryBranchIntro "May I enter the College?" [DIAL:000AF0D8];;May I enter the College?;MG01 "First Lessons" [QUST:0001F251];;
596176;[DIAL:000918CE];;[INFO:000918D0] ('Well, I think this is an excellent start. I'd like you all to continue practicing with wards, please.' in GRUP Topic Children of [DIAL:000918CE]);;;TIF__000918D0;
596174;;[DIAL:000918CE];;;MG01 "First Lessons" [QUST:0001F251];;
535056;MG04TolfdirStage10BranchTopic "Are you resarching the Orb further?" [DIAL:00082A0F];;[INFO:00082A10] (in GRUP Topic Children of MG04TolfdirStage10BranchTopic "Are you resarching the Orb further?" [DIAL:00082A0F]);;;;
535055;;MG04TolfdirStage10BranchTopic "Are you resarching the Orb further?" [DIAL:00082A0F];;Are you resarching the Orb further?;MG04 "Good Intentions" [QUST:0001F254];;
535058;MG04TolfdirStage10FollowUp [DIAL:00082A0C];;[INFO:00082A12] ([G]'I just can't seem to tear myself away. Whatever this is, its beauty is like nothing I've ever seen before.' in GRUP Topic Children of MG04TolfdirStage10FollowUp [DIAL:00082A0C]);;;TIF__00082A12;
535052;;MG04TolfdirStage10FollowUp [DIAL:00082A0C];;;MG04 "Good Intentions" [QUST:0001F254];;
326216;MQ304TsunIntroA3 "By right of Cleverness. I am Master of the College of Winterhold." [DIAL:0004FA3F];;[INFO:0004FA48] ('Well met, mage of Skyrim.' in GRUP Topic Children of MQ304TsunIntroA3 "By right of Cleverness. I am Master of the College of Winterhold." [DIAL:0004FA3F]);;;;
326207;;MQ304TsunIntroA3 "By right of Cleverness. I am Master of the College of Winterhold." [DIAL:0004FA3F];;By right of Cleverness. I am Master of the College of Winterhold.;MQ304 "Sovngarde" [QUST:00046EF1];;
