Record;[0];[0]\[3];[1]\[3];FULL;QNAM;[2]\[2]\[0]\[0];RNAM
100665362;AYOPMQ105BranchTopic1 "Can you ask them to get in touch with me?" [DIAL:FE021811];;[INFO:FE021812] (in GRUP Topic Children of AYOPMQ105BranchTopic1 "Can you ask them to get in touch with me?" [DIAL:FE021811]);;;TIF__010012D6;
100665361;;AYOPMQ105BranchTopic1 "Can you ask them to get in touch with me?" [DIAL:FE021811];;Can you ask them to get in touch with me?;AYOPMQQuest "AYOP MQ Quest" [QUST:FE021802];;
100665360;AYOPMQ105BranchTopic "Do you know anyone that knows more about the Dragons." [DIAL:FE02180F];;[INFO:FE021810] (in GRUP Topic Children of AYOPMQ105BranchTopic "Do you know anyone that knows more about the Dragons." [DIAL:FE02180F]);;;;
100665359;;AYOPMQ105BranchTopic "Do you know anyone that knows more about the Dragons." [DIAL:FE02180F];;Do you know anyone that knows more about the Dragons.;AYOPMQQuest "AYOP MQ Quest" [QUST:FE021802];;
100665350;AYOPMQ105Branch1Topic1 "Would any mage in particular know more?" [DIAL:FE021805];;[INFO:FE021806] ([G]'Do you know Dragonsreach? The Jarl of Whiterun's palace?' in GRUP Topic Children of AYOPMQ105Branch1Topic1 "Would any mage in particular know more?" [DIAL:FE021805]);;;TIF__06005912;
100665349;;AYOPMQ105Branch1Topic1 "Would any mage in particular know more?" [DIAL:FE021805];;Would any mage in particular know more?;AYOPMQQuest "AYOP MQ Quest" [QUST:FE021802];;
100665348;AYOPMQ105Branch1Topic "I am looking for more infomation about the Dragons." [DIAL:FE021801];;[INFO:FE021804] ('As for where to find it... such blasphemies have always been the stock in trade of the mages of Winterhold.' in GRUP Topic Children of AYOPMQ105Branch1Topic "I am looking for more infomation about the Dragons." [DIAL:FE021801]);;;;
100665345;;AYOPMQ105Branch1Topic "I am looking for more infomation about the Dragons." [DIAL:FE021801];;I am looking for more infomation about the Dragons.;AYOPMQQuest "AYOP MQ Quest" [QUST:FE021802];;
861128;MQ301JarlTrapDragonA1 "It's the only way to find Alduin before it's too late." [DIAL:000D23C1];;[INFO:000D23C8] ('I want to help you, Dragonborn. And I will. But I need your help first.' in GRUP Topic Children of MQ301JarlTrapDragonA1 "It's the only way to find Alduin before it's too late." [DIAL:000D23C1]);;;;
861121;;MQ301JarlTrapDragonA1 "It's the only way to find Alduin before it's too late." [DIAL:000D23C1];;It's the only way to find Alduin before it's too late.;MQ301 "The Fallen" [QUST:00044C56];;
861504;MQ301JarlReadyToTrapTopic "It's the only way to find Alduin before it's too late." [DIAL:000D23BF];;[INFO:000D2540] ('Then... Whiterun will stand with you, Dragonborn. We will take the risk, and gain the glory, whether it be in victory or defeat!' in GRUP Topic Children of MQ301JarlReadyToTrapTopic "It's the only way to find Alduin before it's too late." [DIAL:000D23BF]);;;TIF__000D2540;
