Record;[0];[0]\[3];[1]\[3];FULL;QNAM;[2]\[2]\[0]\[0];RNAM
33658398;BYOHHouseBardRehireTopic [DIAL:030195C1];;[INFO:0301961E] (in GRUP Topic Children of BYOHHouseBardRehireTopic [DIAL:030195C1]);;;;
33658397;BYOHHouseBardRehireTopic [DIAL:030195C1];;[INFO:0301961D] (in GRUP Topic Children of BYOHHouseBardRehireTopic [DIAL:030195C1]);;;;
33658396;BYOHHouseBardRehireTopic [DIAL:030195C1];;[INFO:0301961C] (in GRUP Topic Children of BYOHHouseBardRehireTopic [DIAL:030195C1]);;;;
33658305;;BYOHHouseBardRehireTopic [DIAL:030195C1];;;BYOHHouseBuilding [QUST:0300305D];;
33658329;BYOHHouseBardRehireYes "I've changed my mind. I'd like you to stay." [DIAL:030195C0];;[INFO:030195D9] ([G]'Good! I knew you couldn't have been serious when you dismissed me. Life without music is hardly worth living, is it?' in GRUP Topic Children of BYOHHouseBardRehireYes "I've changed my mind. I'd like you to stay." [DIAL:030195C0]);;;BYOH_TIF__010195D9;
33658328;BYOHHouseBardRehireYes "I've changed my mind. I'd like you to stay." [DIAL:030195C0];;[INFO:030195D8] ([G]'As you wish. We can consider this incident nothing more than an unfortunate misunderstanding.' in GRUP Topic Children of BYOHHouseBardRehireYes "I've changed my mind. I'd like you to stay." [DIAL:030195C0]);;;BYOH_TIF__010195D8;
33658327;BYOHHouseBardRehireYes "I've changed my mind. I'd like you to stay." [DIAL:030195C0];;[INFO:030195D7] ([G]'Ah, excellent! We'll just call this a misunderstanding between friends. I've already forgotten it, myself.' in GRUP Topic Children of BYOHHouseBardRehireYes "I've changed my mind. I'd like you to stay." [DIAL:030195C0]);;;BYOH_TIF__010195D7;
33658304;;BYOHHouseBardRehireYes "I've changed my mind. I'd like you to stay." [DIAL:030195C0];;I've changed my mind. I'd like you to stay.;BYOHHouseBuilding [QUST:0300305D];;
33658310;BYOHHouseBardRehireNeverMind "No, never mind." [DIAL:030195BF];;[INFO:030195C6] ([G]'Oh. Well then, I'd best be on my way.' in GRUP Topic Children of BYOHHouseBardRehireNeverMind "No, never mind." [DIAL:030195BF]);;;;
33658303;;BYOHHouseBardRehireNeverMind "No, never mind." [DIAL:030195BF];;No, never mind.;BYOHHouseBuilding [QUST:0300305D];;
33658331;BYOHHouseBardIntroTopic [DIAL:030195BE];;[INFO:030195DB] ('Hello, my name is Oriella, the bard that you asked your steward to hire. I hope my music will be pleasing to you.' in GRUP Topic Children of BYOHHouseBardIntroTopic [DIAL:030195BE]);;;;
33658330;BYOHHouseBardIntroTopic [DIAL:030195BE];;[INFO:030195DA] ('Good day to you. I am Sonir, the bard that your steward has hired. Please let me know if there's anything specific you want to hear.' in GRUP Topic Children of BYOHHouseBardIntroTopic [DIAL:030195BE]);;;;
33656267;BYOHHouseBardIntroTopic [DIAL:030195BE];;[INFO:03018DCB] ('Allow me to introduce myself. I am the bard Llewellyn, known as "The Nightingale". Your steward has arranged for me to take service with you.' in GRUP Topic Children of BYOHHouseBardIntroTopic [DIAL:030195BE]);;;;
33658302;;BYOHHouseBardIntroTopic [DIAL:030195BE];;;BYOHHouseBuilding [QUST:0300305D];;
33657541;RelationshipAdoption_FGNameCallingBranchTopic [DIAL:030192B7];;[INFO:030192C5] (in GRUP Topic Children of RelationshipAdoption_FGNameCallingBranchTopic [DIAL:030192B7]);;;;
33657540;RelationshipAdoption_FGNameCallingBranchTopic [DIAL:030192B7];;[INFO:030192C4] (in GRUP Topic Children of RelationshipAdoption_FGNameCallingBranchTopic [DIAL:030192B7]);;;;
33657539;RelationshipAdoption_FGNameCallingBranchTopic [DIAL:030192B7];;[INFO:030192C3] (in GRUP Topic Children of RelationshipAdoption_FGNameCallingBranchTopic [DIAL:030192B7]);;;;
33657538;RelationshipAdoption_FGNameCallingBranchTopic [DIAL:030192B7];;[INFO:030192C2] (in GRUP Topic Children of RelationshipAdoption_FGNameCallingBranchTopic [DIAL:030192B7]);;;;
33657537;RelationshipAdoption_FGNameCallingBranchTopic [DIAL:030192B7];;[INFO:030192C1] (in GRUP Topic Children of RelationshipAdoption_FGNameCallingBranchTopic [DIAL:030192B7]);;;;
33657536;RelationshipAdoption_FGNameCallingBranchTopic [DIAL:030192B7];;[INFO:030192C0] (in GRUP Topic Children of RelationshipAdoption_FGNameCallingBranchTopic [DIAL:030192B7]);;;;
33657535;RelationshipAdoption_FGNameCallingBranchTopic [DIAL:030192B7];;[INFO:030192BF] (in GRUP Topic Children of RelationshipAdoption_FGNameCallingBranchTopic [DIAL:030192B7]);;;;
33657534;RelationshipAdoption_FGNameCallingBranchTopic [DIAL:030192B7];;[INFO:030192BE] (in GRUP Topic Children of RelationshipAdoption_FGNameCallingBranchTopic [DIAL:030192B7]);;;;
33657527;;RelationshipAdoption_FGNameCallingBranchTopic [DIAL:030192B7];;;BYOHRelationshipAdoption [QUST:030042B4];;
33657528;RelationshipAdoption_FGNameCallingBreakup1 "Cut it out, both of you." [DIAL:030192B6];;[INFO:030192B8] ([G] in GRUP Topic Children of RelationshipAdoption_FGNameCallingBreakup1 "Cut it out, both of you." [DIAL:030192B6]);;;BYOH_TIF__010192B8;
33657526;;RelationshipAdoption_FGNameCallingBreakup1 "Cut it out, both of you." [DIAL:030192B6];;Cut it out, both of you.;BYOHRelationshipAdoption [QUST:030042B4];;
33657533;RelationshipAdoption_FGNameCallingBreakup2 [DIAL:030192B5];;[INFO:030192BD] ([G] in GRUP Topic Children of RelationshipAdoption_FGNameCallingBreakup2 [DIAL:030192B5]);;;BYOH_TIF__010192BD;Enough. <Alias.ShortName=Child2>, go to your room.
