Record;[0];[0]\[3];[1]\[3];FULL;QNAM;[2]\[2]\[0]\[0];RNAM
100665421;AnimatedFishing_RodHeight_Hello [DIAL:FE02181D];;[INFO:FE02184D] ([R][RE]'I've been fishing in these parts for years! There's a clear spot just west of Riften! You know the area?' in GRUP Topic Children of AnimatedFishing_RodHeight_Hello [DIAL:FE02181D]);;;;
100665418;AnimatedFishing_RodHeight_Hello [DIAL:FE02181D];;[INFO:FE02184A] ([R]'Ah, a fisherman? Good!' in GRUP Topic Children of AnimatedFishing_RodHeight_Hello [DIAL:FE02181D]);;;;
100665417;AnimatedFishing_RodHeight_Hello [DIAL:FE02181D];;[INFO:FE021849] ([R]'Up for some fishing this week? Good!' in GRUP Topic Children of AnimatedFishing_RodHeight_Hello [DIAL:FE02181D]);;;;
100665416;AnimatedFishing_RodHeight_Hello [DIAL:FE02181D];;[INFO:FE021848] ([R]'There's nothing like fishing on Lake Honrich, you should try it sometime.' in GRUP Topic Children of AnimatedFishing_RodHeight_Hello [DIAL:FE02181D]);;;;
100665412;AnimatedFishing_RodHeight_Hello [DIAL:FE02181D];;[INFO:FE021844] ([R]'I envy you the chance to have a day full of fishing!' in GRUP Topic Children of AnimatedFishing_RodHeight_Hello [DIAL:FE02181D]);;;;
100665411;AnimatedFishing_RodHeight_Hello [DIAL:FE02181D];;[INFO:FE021843] ([R]'Hello, friend! Here for the fishing, I guess?' in GRUP Topic Children of AnimatedFishing_RodHeight_Hello [DIAL:FE02181D]);;;;
100665410;AnimatedFishing_RodHeight_Hello [DIAL:FE02181D];;[INFO:FE021842] ([R]'I used to play in the Yorgrim River when I was just a boy. Good fishing, I hear!' in GRUP Topic Children of AnimatedFishing_RodHeight_Hello [DIAL:FE02181D]);;;;
100665394;AnimatedFishing_RodHeight_Hello [DIAL:FE02181D];;[INFO:FE021832] ([R]'Look at you! Did you catch anything?' in GRUP Topic Children of AnimatedFishing_RodHeight_Hello [DIAL:FE02181D]);;;;
100665388;AnimatedFishing_RodHeight_Hello [DIAL:FE02181D];;[INFO:FE02182C] ([R]'Fresh fish sounds delicious!' in GRUP Topic Children of AnimatedFishing_RodHeight_Hello [DIAL:FE02181D]);;;;
100665381;AnimatedFishing_RodHeight_Hello [DIAL:FE02181D];;[INFO:FE021825] ([R]'Fishing, hmm? Good honest work I say.' in GRUP Topic Children of AnimatedFishing_RodHeight_Hello [DIAL:FE02181D]);;;;
100665380;AnimatedFishing_RodHeight_Hello [DIAL:FE02181D];;[INFO:FE021824] ([R]'How's the fishing?' in GRUP Topic Children of AnimatedFishing_RodHeight_Hello [DIAL:FE02181D]);;;;
100665374;AnimatedFishing_RodHeight_Hello [DIAL:FE02181D];;[INFO:FE02181E] ([R]'Fish? Again?!' in GRUP Topic Children of AnimatedFishing_RodHeight_Hello [DIAL:FE02181D]);;;;
100665373;;AnimatedFishing_RodHeight_Hello [DIAL:FE02181D];;;AnimatedFishing_RodHeight "RodHeightQuest" [QUST:FE021816];;
100665452;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE02186C] ([R][RE]'Oh, fine. I can use a break anyway.' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665425;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE021851] ([R]'Hmmm... I'm so hungry...' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665419;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE02184B] ([R]'The Reach is a beatiful but dangerous place, eh? One false step and you'll fall to your death...' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665451;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE02186B] ([R][RE]'Looks to be another cold day...' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665420;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE02184C] ([R]'I've been fishing in these parts for years! There's a clear spot just west of Riften! You know the area?' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665450;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE02186A] ([R]'Fine... I can use a break anyway.' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665422;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE02184E] ([R]'I'm sick of waiting! When are we going to see some action?' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665415;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE021847] ([R][RE]'There's nothing like fishing on Lake Honrich, you should try it sometime.' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665414;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE021846] ([R]'Say, how are you going to sell all those fish before they spoil?' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665445;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE021865] ([R]'I envy you the chance to have a day full of fishing!' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665447;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE021867] ([R]'At times like this, I truly appreciate the joys of a warm fire and a stiff drink.' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665446;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE021866] ([R][RE]'This cold is unbearable...' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665413;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE021845] ([R]'Mind your step...' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665449;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE021869] ([R][RE]'The wind blows bitter cold in this place...' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665448;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE021868] ([R]'Khajiit guards your back.' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665441;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE021861] ([R][RE]'If you want to catch those slippery slaughterfish... oooh, you need to do better than that!' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665442;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE021862] ([R]'Right then... I'll stand guard.' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665443;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE021863] ([R]'Ready to get moving?' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665409;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE021841] ([R]'Alright... Don't take too long...' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
100665408;AnimatedFishing_RodHeight_Idle [DIAL:FE02181B];;[INFO:FE021840] ([R][RE]'Fresh fish, fresh fish!' in GRUP Topic Children of AnimatedFishing_RodHeight_Idle [DIAL:FE02181B]);;;;
