Record;[0];[0]\[3];[1]\[3];FULL;QNAM;[2]\[2]\[0]\[0];RNAM
16789682;CCHorseArmorDialogueQuestArmorBranchTopic "I'd like to armor my horse." [DIAL:010030AC];;[INFO:010030B2] (in GRUP Topic Children of CCHorseArmorDialogueQuestArmorBranchTopic "I'd like to armor my horse." [DIAL:010030AC]);;;;
16789676;;CCHorseArmorDialogueQuestArmorBranchTopic "I'd like to armor my horse." [DIAL:010030AC];;I'd like to armor my horse.;CCHorseArmorDialogueQuest [QUST:010030B5];;
16789680;CCHorseArmorDialogueQuestArmorSTEEL "Steel Armor (<Global=CCHorseArmorCost> gold)" [DIAL:010030AB];;[INFO:010030B0] (in GRUP Topic Children of CCHorseArmorDialogueQuestArmorSTEEL "Steel Armor (<Global=CCHorseArmorCost> gold)" [DIAL:010030AB]);;;TIF__010030B0;
16789675;;CCHorseArmorDialogueQuestArmorSTEEL "Steel Armor (<Global=CCHorseArmorCost> gold)" [DIAL:010030AB];;Steel Armor (<Global=CCHorseArmorCost> gold);CCHorseArmorDialogueQuest [QUST:010030B5];;
16789681;CCHorseArmorDialogueQuestArmorELVEN "Elven Armor (<Global=CCHorseArmorCost> gold)" [DIAL:010030AA];;[INFO:010030B1] (in GRUP Topic Children of CCHorseArmorDialogueQuestArmorELVEN "Elven Armor (<Global=CCHorseArmorCost> gold)" [DIAL:010030AA]);;;TIF__010030B1;
16789674;;CCHorseArmorDialogueQuestArmorELVEN "Elven Armor (<Global=CCHorseArmorCost> gold)" [DIAL:010030AA];;Elven Armor (<Global=CCHorseArmorCost> gold);CCHorseArmorDialogueQuest [QUST:010030B5];;
16789678;CCHorseArmorDialogueQuestArmorREMOVE "Remove the armor." [DIAL:010030A9];;[INFO:010030AE] (in GRUP Topic Children of CCHorseArmorDialogueQuestArmorREMOVE "Remove the armor." [DIAL:010030A9]);;;TIF__010030AE;
16789673;;CCHorseArmorDialogueQuestArmorREMOVE "Remove the armor." [DIAL:010030A9];;Remove the armor.;CCHorseArmorDialogueQuest [QUST:010030B5];;
16789679;CCHorseArmorDialogueQuestArmorCANCEL "Never mind." [DIAL:010030A8];;[INFO:010030AF] (in GRUP Topic Children of CCHorseArmorDialogueQuestArmorCANCEL "Never mind." [DIAL:010030A8]);;;;
16789672;;CCHorseArmorDialogueQuestArmorCANCEL "Never mind." [DIAL:010030A8];;Never mind.;CCHorseArmorDialogueQuest [QUST:010030B5];;
16789677;CCHorseArmorDialogueQuestArmorElvenFREE "Elven Armor (<Global=CCHorseArmorCostSwapOnly> gold)" [DIAL:010030A7];;[INFO:010030AD] (in GRUP Topic Children of CCHorseArmorDialogueQuestArmorElvenFREE "Elven Armor (<Global=CCHorseArmorCostSwapOnly> gold)" [DIAL:010030A7]);;;TIF__010030AD;
16789671;;CCHorseArmorDialogueQuestArmorElvenFREE "Elven Armor (<Global=CCHorseArmorCostSwapOnly> gold)" [DIAL:010030A7];;Elven Armor (<Global=CCHorseArmorCostSwapOnly> gold);CCHorseArmorDialogueQuest [QUST:010030B5];;
16789683;CCHorseArmorDialogueQuestArmorSteelFREE "Steel Armor (<Global=CCHorseArmorCostSwapOnly> gold)" [DIAL:010030A6];;[INFO:010030B3] (in GRUP Topic Children of CCHorseArmorDialogueQuestArmorSteelFREE "Steel Armor (<Global=CCHorseArmorCostSwapOnly> gold)" [DIAL:010030A6]);;;TIF__010030B3;
16789670;;CCHorseArmorDialogueQuestArmorSteelFREE "Steel Armor (<Global=CCHorseArmorCostSwapOnly> gold)" [DIAL:010030A6];;Steel Armor (<Global=CCHorseArmorCostSwapOnly> gold);CCHorseArmorDialogueQuest [QUST:010030B5];;
16789254;PetFramework_BranchRecruitTopic "Come with me!" [DIAL:01002F01];;[INFO:01002F06] ([G]'(squeal)' in GRUP Topic Children of PetFramework_BranchRecruitTopic "Come with me!" [DIAL:01002F01]);;;TIF__01002F06;
16789249;;PetFramework_BranchRecruitTopic "Come with me!" [DIAL:01002F01];;Come with me!;PetFramework_ParentQuest [QUST:01002F1C];;
16789250;PetFramework_BranchDismiss_HoldTopic "Wait for me in the city..." [DIAL:01002F00];;[INFO:01002F02] ('(whine)' in GRUP Topic Children of PetFramework_BranchDismiss_HoldTopic "Wait for me in the city..." [DIAL:01002F00]);;;;
16789248;;PetFramework_BranchDismiss_HoldTopic "Wait for me in the city..." [DIAL:01002F00];;Wait for me in the city...;PetFramework_ParentQuest [QUST:01002F1C];;
16789262;PetFramework_BranchDismiss_HomeTopic "Wait for me at home..." [DIAL:01002EFF];;[INFO:01002F0E] ('(whine)' in GRUP Topic Children of PetFramework_BranchDismiss_HomeTopic "Wait for me at home..." [DIAL:01002EFF]);;;;
16789247;;PetFramework_BranchDismiss_HomeTopic "Wait for me at home..." [DIAL:01002EFF];;Wait for me at home...;PetFramework_ParentQuest [QUST:01002F1C];;
