Record;[0];[0]\[3];[1]\[3];FULL;QNAM;[2]\[2]\[0]\[0];RNAM
85491670;ccBGSSSE001_Crab_MQ4_PostBattleBranchStartTopic [DIAL:05187FD5];;[INFO:05187FD6] (in GRUP Topic Children of ccBGSSSE001_Crab_MQ4_PostBattleBranchStartTopic [DIAL:05187FD5]);;;;
85491669;;ccBGSSSE001_Crab_MQ4_PostBattleBranchStartTopic [DIAL:05187FD5];;;ccBGSSSE001_Crab_MQ4 "Wave Breaker" [QUST:050009E9];;
85450170;ccBGSSSE001_Crab_MQ4_ViriyaBranchAlertTopic [DIAL:0517DDB9];;[INFO:0517DDBA] (in GRUP Topic Children of ccBGSSSE001_Crab_MQ4_ViriyaBranchAlertTopic [DIAL:0517DDB9]);;;;
85450169;;ccBGSSSE001_Crab_MQ4_ViriyaBranchAlertTopic [DIAL:0517DDB9];;;ccBGSSSE001_Crab_MQ4 "Wave Breaker" [QUST:050009E9];;
85429427;ccBGSSSE001_Crab_MQ4_GuardBranch_RegroupTopic [DIAL:05178CB2];;[INFO:05178CB3] (in GRUP Topic Children of ccBGSSSE001_Crab_MQ4_GuardBranch_RegroupTopic [DIAL:05178CB2]);;;;
85429426;;ccBGSSSE001_Crab_MQ4_GuardBranch_RegroupTopic [DIAL:05178CB2];;;ccBGSSSE001_Crab_MQ4 "Wave Breaker" [QUST:050009E9];;
85429425;ccBGSSSE001_Crab_MQ4_GuardBranchLowReinforcementsTopic [DIAL:05178CB0];;[INFO:05178CB1] (in GRUP Topic Children of ccBGSSSE001_Crab_MQ4_GuardBranchLowReinforcementsTopic [DIAL:05178CB0]);;;;
85429424;;ccBGSSSE001_Crab_MQ4_GuardBranchLowReinforcementsTopic [DIAL:05178CB0];;;ccBGSSSE001_Crab_MQ4 "Wave Breaker" [QUST:050009E9];;
85429423;ccBGSSSE001_Crab_MQ4_GuardBranchTakeThemTopic [DIAL:05178CAE];;[INFO:05178CAF] (in GRUP Topic Children of ccBGSSSE001_Crab_MQ4_GuardBranchTakeThemTopic [DIAL:05178CAE]);;;;
85429422;;ccBGSSSE001_Crab_MQ4_GuardBranchTakeThemTopic [DIAL:05178CAE];;;ccBGSSSE001_Crab_MQ4 "Wave Breaker" [QUST:050009E9];;
85429421;ccBGSSSE001_Crab_MQ4_GuardBranch_HereTheyComeTopic [DIAL:05178CAC];;[INFO:05178CAD] (in GRUP Topic Children of ccBGSSSE001_Crab_MQ4_GuardBranch_HereTheyComeTopic [DIAL:05178CAC]);;;;
