Record;[0];[0]\[3];[1]\[3];FULL;QNAM;[2]\[2]\[0]\[0];RNAM
85578632;ccBGSSSE025_StaadaQuest_FINBranch "I suppose this is goodbye." [DIAL:0619D387];;[INFO:0619D388] ([G] in GRUP Topic Children of ccBGSSSE025_StaadaQuest_FINBranch "I suppose this is goodbye." [DIAL:0619D387]);;;TIF_ccBGSSSE025_StaadaFrgF;
85578631;;ccBGSSSE025_StaadaQuest_FINBranch "I suppose this is goodbye." [DIAL:0619D387];;I suppose this is goodbye.;ccBGSSSE025_StaadaQuest "Staada Quest" [QUST:06198277];;
85578630;ccBGSSSE025_StaadaQuest_KeepAmber "I have the artifact you seek, but I think I'll be keeping it. So long." [DIAL:0619D383];;[INFO:0619D386] ([G] in GRUP Topic Children of ccBGSSSE025_StaadaQuest_KeepAmber "I have the artifact you seek, but I think I'll be keeping it. So long." [DIAL:0619D383]);;;TIF_ccBGSSSE025_StaadaFrag3;
85578627;;ccBGSSSE025_StaadaQuest_KeepAmber "I have the artifact you seek, but I think I'll be keeping it. So long." [DIAL:0619D383];;I have the artifact you seek, but I think I'll be keeping it. So long.;ccBGSSSE025_StaadaQuest "Staada Quest" [QUST:06198277];;
85578629;ccBGSSSE025_StaadaQuest_GiveAmberBranch2 "I believe I have what you're looking for. (Give Sword of Jyggalag)" [DIAL:0619D382];;[INFO:0619D385] (in GRUP Topic Children of ccBGSSSE025_StaadaQuest_GiveAmberBranch2 "I believe I have what you're looking for. (Give Sword of Jyggalag)" [DIAL:0619D382]);;;TIF_ccBGSSSE025_StaadaFrag2;
85578626;;ccBGSSSE025_StaadaQuest_GiveAmberBranch2 "I believe I have what you're looking for. (Give Sword of Jyggalag)" [DIAL:0619D382];;I believe I have what you're looking for. (Give Sword of Jyggalag);ccBGSSSE025_StaadaQuest "Staada Quest" [QUST:06198277];;
85578628;ccBGSSSE025_StaadaQuest_GiveAmberBranch "I believe I have what you're looking for. (Give Sheogorath-Shaped Amber)" [DIAL:0619D381];;[INFO:0619D384] (in GRUP Topic Children of ccBGSSSE025_StaadaQuest_GiveAmberBranch "I believe I have what you're looking for. (Give Sheogorath-Shaped Amber)" [DIAL:0619D381]);;;TIF_ccBGSSSE025_StaadaFrag;
85578625;;ccBGSSSE025_StaadaQuest_GiveAmberBranch "I believe I have what you're looking for. (Give Sheogorath-Shaped Amber)" [DIAL:0619D381];;I believe I have what you're looking for. (Give Sheogorath-Shaped Amber);ccBGSSSE025_StaadaQuest "Staada Quest" [QUST:06198277];;
85599490;ccBGSSSE025_StaadaQuest_AmberBranchTopic "You must be the one who sent that note." [DIAL:0619D37F];;[INFO:061A2502] (in GRUP Topic Children of ccBGSSSE025_StaadaQuest_AmberBranchTopic "You must be the one who sent that note." [DIAL:0619D37F]);;;TIF_ccBGSSSE025_StaadaFragA;You're clearly far from home. Are you looking for something?
85578624;ccBGSSSE025_StaadaQuest_AmberBranchTopic "You must be the one who sent that note." [DIAL:0619D37F];;[INFO:0619D380] (in GRUP Topic Children of ccBGSSSE025_StaadaQuest_AmberBranchTopic "You must be the one who sent that note." [DIAL:0619D37F]);;;TIF_ccBGSSSE025_StaadaFrag0;
85578623;;ccBGSSSE025_StaadaQuest_AmberBranchTopic "You must be the one who sent that note." [DIAL:0619D37F];;You must be the one who sent that note.;ccBGSSSE025_StaadaQuest "Staada Quest" [QUST:06198277];;
84645265;ccBGSSSE025_ElytraDBranch_SpecialTopic "Special ability" [DIAL:060B958F];;[INFO:060B9591] ([G]'(grunt)' in GRUP Topic Children of ccBGSSSE025_ElytraDBranch_SpecialTopic "Special ability" [DIAL:060B958F]);;;ccBGSSSE025_TIF__050B9591;I need some help in battle!
84645263;;ccBGSSSE025_ElytraDBranch_SpecialTopic "Special ability" [DIAL:060B958F];;Special ability;ccBGSSSE025_ElytraPetAdoption_Dementia [QUST:060010C2];;
84645264;ccBGSSSE025_ElytraDBranch_CollectVenomTopic "Harvest venom" [DIAL:060B958D];;[INFO:060B9590] ([G]'(grunt)' in GRUP Topic Children of ccBGSSSE025_ElytraDBranch_CollectVenomTopic "Harvest venom" [DIAL:060B958D]);;;ccBGSSSE025_TIF__050B9590;Let's harvest some venom.
84645261;;ccBGSSSE025_ElytraDBranch_CollectVenomTopic "Harvest venom" [DIAL:060B958D];;Harvest venom;ccBGSSSE025_ElytraPetAdoption_Dementia [QUST:060010C2];;
84645252;ccBGSSSE025_ElytraMBranch_SpecialTopic "Special ability" [DIAL:060B9583];;[INFO:060B9584] ([G]'(grunt)' in GRUP Topic Children of ccBGSSSE025_ElytraMBranch_SpecialTopic "Special ability" [DIAL:060B9583]);;;ccBGSSSE025_TIF__050B9584;I need some help in battle!
84645251;;ccBGSSSE025_ElytraMBranch_SpecialTopic "Special ability" [DIAL:060B9583];;Special ability;ccBGSSSE025_ElytraPetAdoption_Mania [QUST:060010BE];;
84645249;ccBGSSSE025_ElytraMBranch_CollectVenomTopic "Harvest venom" [DIAL:060B9580];;[INFO:060B9581] ([G]'(grunt)' in GRUP Topic Children of ccBGSSSE025_ElytraMBranch_CollectVenomTopic "Harvest venom" [DIAL:060B9580]);;;ccBGSSSE025_TIF__050B9581;Let's harvest some venom.
84645248;;ccBGSSSE025_ElytraMBranch_CollectVenomTopic "Harvest venom" [DIAL:060B9580];;Harvest venom;ccBGSSSE025_ElytraPetAdoption_Mania [QUST:060010BE];;
83890365;ccBGSSSE025_ElytraMTopicG "A giant bug crab? I really need to stop drinking skooma." [DIAL:060010BC];;[INFO:060010BD] (in GRUP Topic Children of ccBGSSSE025_ElytraMTopicG "A giant bug crab? I really need to stop drinking skooma." [DIAL:060010BC]);;;;
83890364;;ccBGSSSE025_ElytraMTopicG "A giant bug crab? I really need to stop drinking skooma." [DIAL:060010BC];;A giant bug crab? I really need to stop drinking skooma.;ccBGSSSE025_ElytraPetAcquisition_Mania "My Pet Elytra (Mania)" [QUST:060010C3];;
83890363;ccBGSSSE025_ElytraTopicF "A giant bug crab? I really need to stop drinking skooma." [DIAL:060010BA];;[INFO:060010BB] (in GRUP Topic Children of ccBGSSSE025_ElytraTopicF "A giant bug crab? I really need to stop drinking skooma." [DIAL:060010BA]);;;;
83890362;;ccBGSSSE025_ElytraTopicF "A giant bug crab? I really need to stop drinking skooma." [DIAL:060010BA];;A giant bug crab? I really need to stop drinking skooma.;ccBGSSSE025_ElytraPetAcquisition_Dementia "My Pet Elytra (Dementia)" [QUST:060010C0];;
83890361;ccBGSSSE025_ElytraPet_ManiazNO "ccBGSSSE025_ElytraPet_ManiazNO" [DIAL:060010B8];;[INFO:060010B9] ([G] in GRUP Topic Children of ccBGSSSE025_ElytraPet_ManiazNO "ccBGSSSE025_ElytraPet_ManiazNO" [DIAL:060010B8]);;;;On second thought, never mind.
83890360;;ccBGSSSE025_ElytraPet_ManiazNO "ccBGSSSE025_ElytraPet_ManiazNO" [DIAL:060010B8];;ccBGSSSE025_ElytraPet_ManiazNO;ccBGSSSE025_ElytraPetAcquisition_Mania "My Pet Elytra (Mania)" [QUST:060010C3];;
83890359;ccBGSSSE025_ElytraPet_ManiaYES [DIAL:060010B6];;[INFO:060010B7] ([G] in GRUP Topic Children of ccBGSSSE025_ElytraPet_ManiaYES [DIAL:060010B6]);;;ccBGSSSE025_TIF__0503093A;All right, let's go.
83890358;;ccBGSSSE025_ElytraPet_ManiaYES [DIAL:060010B6];;;ccBGSSSE025_ElytraPetAcquisition_Mania "My Pet Elytra (Mania)" [QUST:060010C3];;
83890357;ccBGSSSE025_ElytraManiaBranch05Topic "Well, you're free. Good luck out there." [DIAL:060010B4];;[INFO:060010B5] ([G] in GRUP Topic Children of ccBGSSSE025_ElytraManiaBranch05Topic "Well, you're free. Good luck out there." [DIAL:060010B4]);;;;
83890356;;ccBGSSSE025_ElytraManiaBranch05Topic "Well, you're free. Good luck out there." [DIAL:060010B4];;Well, you're free. Good luck out there.;ccBGSSSE025_ElytraPetAcquisition_Mania "My Pet Elytra (Mania)" [QUST:060010C3];;
83890355;ccBGSSSE025_ElytraManiaBranch04Topic "I think you're kind of cute. Do you want to be my pet?" [DIAL:060010B2];;[INFO:060010B3] (in GRUP Topic Children of ccBGSSSE025_ElytraManiaBranch04Topic "I think you're kind of cute. Do you want to be my pet?" [DIAL:060010B2]);;;;
83890354;;ccBGSSSE025_ElytraManiaBranch04Topic "I think you're kind of cute. Do you want to be my pet?" [DIAL:060010B2];;I think you're kind of cute. Do you want to be my pet?;ccBGSSSE025_ElytraPetAcquisition_Mania "My Pet Elytra (Mania)" [QUST:060010C3];;
83890353;ccBGSSSE025_ElytraManiaBranch03Topic "Still, I wouldn't mind keeping you as a pet. What do you say?" [DIAL:060010B0];;[INFO:060010B1] (in GRUP Topic Children of ccBGSSSE025_ElytraManiaBranch03Topic "Still, I wouldn't mind keeping you as a pet. What do you say?" [DIAL:060010B0]);;;;
83890352;;ccBGSSSE025_ElytraManiaBranch03Topic "Still, I wouldn't mind keeping you as a pet. What do you say?" [DIAL:060010B0];;Still, I wouldn't mind keeping you as a pet. What do you say?;ccBGSSSE025_ElytraPetAcquisition_Mania "My Pet Elytra (Mania)" [QUST:060010C3];;
83890351;ccBGSSSE025_ElytraManiaBranch02Topic "I can't just leave you here. Maybe you could follow me?" [DIAL:060010AE];;[INFO:060010AF] (in GRUP Topic Children of ccBGSSSE025_ElytraManiaBranch02Topic "I can't just leave you here. Maybe you could follow me?" [DIAL:060010AE]);;;;
83890350;;ccBGSSSE025_ElytraManiaBranch02Topic "I can't just leave you here. Maybe you could follow me?" [DIAL:060010AE];;I can't just leave you here. Maybe you could follow me?;ccBGSSSE025_ElytraPetAcquisition_Mania "My Pet Elytra (Mania)" [QUST:060010C3];;
83890349;ccBGSSSE025_ElytraManiaBranch01Topic "Do you want to come with me?" [DIAL:060010AC];;[INFO:060010AD] (in GRUP Topic Children of ccBGSSSE025_ElytraManiaBranch01Topic "Do you want to come with me?" [DIAL:060010AC]);;;;
83890348;;ccBGSSSE025_ElytraManiaBranch01Topic "Do you want to come with me?" [DIAL:060010AC];;Do you want to come with me?;ccBGSSSE025_ElytraPetAcquisition_Mania "My Pet Elytra (Mania)" [QUST:060010C3];;
