Record;[0];[0]\[3];[1]\[3];FULL;QNAM;[2]\[2]\[0]\[0];RNAM
33663727;DLC1VQ07PostGeleborBetrayedBranchTopic "Can the Betrayed ever be cured?" [DIAL:0201AAEC];;[INFO:0201AAEF] ('I feel nothing but sympathy for the Betrayed, despite my actions against them.' in GRUP Topic Children of DLC1VQ07PostGeleborBetrayedBranchTopic "Can the Betrayed ever be cured?" [DIAL:0201AAEC]);;;;
33663724;;DLC1VQ07PostGeleborBetrayedBranchTopic "Can the Betrayed ever be cured?" [DIAL:0201AAEC];;Can the Betrayed ever be cured?;DLC1VQ07Post "Touching the Sky Post Quest Handler" [QUST:02015A68];;
33663726;DLC1VQ07PostGeleborBetrayedBranchTopic01 "Why?" [DIAL:0201AAEB];;[INFO:0201AAEE] ('The twisted forms you've seen didn't occur overnight. It isn't a plague or a disease that ravaged our species.' in GRUP Topic Children of DLC1VQ07PostGeleborBetrayedBranchTopic01 "Why?" [DIAL:0201AAEB]);;;;
33663723;;DLC1VQ07PostGeleborBetrayedBranchTopic01 "Why?" [DIAL:0201AAEB];;Why?;DLC1VQ07Post "Touching the Sky Post Quest Handler" [QUST:02015A68];;
33663725;DLC1VQ07PostGeleborBetrayedBranchTopic02 "Then there's no hope for them." [DIAL:0201AAEA];;[INFO:0201AAED] ('Perhaps they'll never return to their former appearance, but over the centuries, I've noticed a rise in their intellect.' in GRUP Topic Children of DLC1VQ07PostGeleborBetrayedBranchTopic02 "Then there's no hope for them." [DIAL:0201AAEA]);;;;
33663722;;DLC1VQ07PostGeleborBetrayedBranchTopic02 "Then there's no hope for them." [DIAL:0201AAEA];;Then there's no hope for them.;DLC1VQ07Post "Touching the Sky Post Quest Handler" [QUST:02015A68];;
33663695;[DIAL:0201AACE];;[INFO:0201AACF] ('Drinking it gives you strength, but it also gets you pretty messed up... That's why we thought of putting it in the skooma.' in GRUP Topic Children of [DIAL:0201AACE]);;;;
33663694;;[DIAL:0201AACE];;;DLC1dunRedwaterDenQST [QUST:02007C4F];;
33663617;DLC1VQ05ValericaIntroBranchPostTopic01b "Does that mean you can take us to it now?" [DIAL:0201AA80];;[INFO:0201AA81] ([G]'Yes. Please, follow me.' in GRUP Topic Children of DLC1VQ05ValericaIntroBranchPostTopic01b "Does that mean you can take us to it now?" [DIAL:0201AA80]);;;DLC1_TIF__0101AA81;
33663616;;DLC1VQ05ValericaIntroBranchPostTopic01b "Does that mean you can take us to it now?" [DIAL:0201AA80];;Does that mean you can take us to it now?;DLC1VQ05 "Beyond Death" [QUST:02002850];;
33613740;DLC1HireableDogsBranchTopic [DIAL:0201AA64];;[INFO:0200E7AC] ('(Whine)' in GRUP Topic Children of DLC1HireableDogsBranchTopic [DIAL:0201AA64]);;;;
33663589;DLC1HireableDogsBranchTopic [DIAL:0201AA64];;[INFO:0201AA65] ('(Whine)' in GRUP Topic Children of DLC1HireableDogsBranchTopic [DIAL:0201AA64]);;;;
33663588;;DLC1HireableDogsBranchTopic [DIAL:0201AA64];;;DLC1HireableDogs "Dog Hire Quest" [QUST:0201AA70];;
33663599;DLC1HireableDogsWantToHire "What's wrong? You want to go hunt some vampires?" [DIAL:0201AA63];;[INFO:0201AA6F] ('(Bark)' in GRUP Topic Children of DLC1HireableDogsWantToHire "What's wrong? You want to go hunt some vampires?" [DIAL:0201AA63]);;;;Ready for some bloodshed, beast?
33663598;DLC1HireableDogsWantToHire "What's wrong? You want to go hunt some vampires?" [DIAL:0201AA63];;[INFO:0201AA6E] ('(Bark)' in GRUP Topic Children of DLC1HireableDogsWantToHire "What's wrong? You want to go hunt some vampires?" [DIAL:0201AA63]);;;;
33663587;;DLC1HireableDogsWantToHire "What's wrong? You want to go hunt some vampires?" [DIAL:0201AA63];;What's wrong? You want to go hunt some vampires?;DLC1HireableDogs "Dog Hire Quest" [QUST:0201AA70];;
33571740;DLC1HireableDogsAccept "Come on boy, let's go." [DIAL:0201AA62];;[INFO:0200439C] ([G]'(Whine)' in GRUP Topic Children of DLC1HireableDogsAccept "Come on boy, let's go." [DIAL:0201AA62]);;;DLC1_TIF__0100439C;Let's go. (Dismiss current animal)
33663595;DLC1HireableDogsAccept "Come on boy, let's go." [DIAL:0201AA62];;[INFO:0201AA6B] ([G]'(Bark)' in GRUP Topic Children of DLC1HireableDogsAccept "Come on boy, let's go." [DIAL:0201AA62]);;;DLC1_TIF__0101AA6B;Let's sate our hunger together.
33663594;DLC1HireableDogsAccept "Come on boy, let's go." [DIAL:0201AA62];;[INFO:0201AA6A] ([G]'(Bark)' in GRUP Topic Children of DLC1HireableDogsAccept "Come on boy, let's go." [DIAL:0201AA62]);;;DLC1_TIF__0101AA6A;Come on boy, let's go.
33663586;;DLC1HireableDogsAccept "Come on boy, let's go." [DIAL:0201AA62];;Come on boy, let's go.;DLC1HireableDogs "Dog Hire Quest" [QUST:0201AA70];;
33571762;DLC1HireableDogsDecline "Sorry, maybe next time." [DIAL:0201AA61];;[INFO:020043B2] ([G]'(Growl)' in GRUP Topic Children of DLC1HireableDogsDecline "Sorry, maybe next time." [DIAL:0201AA61]);;;;I've already got an animal with me, maybe next time.
33663593;DLC1HireableDogsDecline "Sorry, maybe next time." [DIAL:0201AA61];;[INFO:0201AA69] ([G]'(Growl)' in GRUP Topic Children of DLC1HireableDogsDecline "Sorry, maybe next time." [DIAL:0201AA61]);;;;Silence, cur. No meat for you today.
33663592;DLC1HireableDogsDecline "Sorry, maybe next time." [DIAL:0201AA61];;[INFO:0201AA68] ([G]'(Growl)' in GRUP Topic Children of DLC1HireableDogsDecline "Sorry, maybe next time." [DIAL:0201AA61]);;;;
33663585;;DLC1HireableDogsDecline "Sorry, maybe next time." [DIAL:0201AA61];;Sorry, maybe next time.;DLC1HireableDogs "Dog Hire Quest" [QUST:0201AA70];;
33663591;[DIAL:0201AA60];;[INFO:0201AA67] ('What kind of beast is that? No law against it, but if that thing starts attacking people, it's getting a sword in the gullet.' in GRUP Topic Children of [DIAL:0201AA60]);;;;
33663590;[DIAL:0201AA60];;[INFO:0201AA66] ('That's a fine looking animal you've got there. I had a dog once. Kept getting fur in my mead.' in GRUP Topic Children of [DIAL:0201AA60]);;;;
33663584;;[DIAL:0201AA60];;;DLC1DialogueGuardsGeneral [QUST:0201AA71];;
33663561;[DIAL:0201AA46];;[INFO:0201AA49] ('Hmph... not very impressive, is it?' in GRUP Topic Children of [DIAL:0201AA46]);;;;
33663558;;[DIAL:0201AA46];;;DLC1VQ06 "Unseen Visions" [QUST:02002852];;
33663559;[DIAL:0201AA45];;[INFO:0201AA47] ('If this ends up being a wasted trip, your friend Dexion and I are going to have some words when we get back.' in GRUP Topic Children of [DIAL:0201AA45]);;;;
33663557;;[DIAL:0201AA45];;;DLC1VQ06 "Unseen Visions" [QUST:02002852];;
33663357;DLC1VQ06DexionMothBranchTopic "How's a moth related to the Elder Scrolls?" [DIAL:0201A975];;[INFO:0201A97D] ('Well, as I'm sure you've figured out by now, it's no mere coincidence that we're named "Moth Priests."' in GRUP Topic Children of DLC1VQ06DexionMothBranchTopic "How's a moth related to the Elder Scrolls?" [DIAL:0201A975]);;;;
33663349;;DLC1VQ06DexionMothBranchTopic "How's a moth related to the Elder Scrolls?" [DIAL:0201A975];;How's a moth related to the Elder Scrolls?;DLC1VQ06 "Unseen Visions" [QUST:02002852];;
33663353;DLC1VQ06DexionMothBranchTopic01 "Moths barely make a sound, let alone speak." [DIAL:0201A974];;[INFO:0201A979] ('Oh, the moths don't literally read the scrolls... but they maintain a connection to ancient magic that allows the Moth Priests to decipher them.' in GRUP Topic Children of DLC1VQ06DexionMothBranchTopic01 "Moths barely make a sound, let alone speak." [DIAL:0201A974]);;;;
