Record;[0];[0]\[3];[1]\[3];FULL;QNAM;[2]\[2]\[0]\[0];RNAM
33805718;DLC2dunTT2_Hello [DIAL:0403D595];;[INFO:0403D596] (in GRUP Topic Children of DLC2dunTT2_Hello [DIAL:0403D595]);;;;
33805717;;DLC2dunTT2_Hello [DIAL:0403D595];;;DLC2dunTT2 [QUST:0402A86C];;
33805435;[DIAL:0403D479];;[INFO:0403D47B] (in GRUP Topic Children of [DIAL:0403D479]);;;;
33805433;;[DIAL:0403D479];;;CreatureDialogueSeeker "CreatureDialogueSeeker" [QUST:0403D47C];;
33805434;[DIAL:0403D478];;[INFO:0403D47A] (in GRUP Topic Children of [DIAL:0403D478]);;;;
33805432;;[DIAL:0403D478];;;CreatureDialogueSeeker "CreatureDialogueSeeker" [QUST:0403D47C];;
33802052;[DIAL:0403C741];;[INFO:0403C744] ([R] in GRUP Topic Children of [DIAL:0403C741]);;;;
33802051;[DIAL:0403C741];;[INFO:0403C743] ([R] in GRUP Topic Children of [DIAL:0403C741]);;;;
33802050;[DIAL:0403C741];;[INFO:0403C742] ([R] in GRUP Topic Children of [DIAL:0403C741]);;;;
33802049;;[DIAL:0403C741];;;DLC2MQ05 "The Gardener of Men" [QUST:040179DE];;
33802058;[DIAL:0403C740];;[INFO:0403C74A] ([R] in GRUP Topic Children of [DIAL:0403C740]);;;;
33802057;[DIAL:0403C740];;[INFO:0403C749] ([R] in GRUP Topic Children of [DIAL:0403C740]);;;;
33802056;[DIAL:0403C740];;[INFO:0403C748] ([R] in GRUP Topic Children of [DIAL:0403C740]);;;;
33802048;;[DIAL:0403C740];;;DLC2MQ05 "The Gardener of Men" [QUST:040179DE];;
33791465;[DIAL:0403A4C9];;[INFO:04039DE9] ([R][RE]'Most of the game has been driven north by the ashfall.' in GRUP Topic Children of [DIAL:0403A4C9]);;;;
33791464;[DIAL:0403A4C9];;[INFO:04039DE8] ([R]'Be wary! The reavers have camps all over the island.' in GRUP Topic Children of [DIAL:0403A4C9]);;;;
33791463;[DIAL:0403A4C9];;[INFO:04039DE7] ([R]'If the All-Maker favors us, we will eat well for many days.' in GRUP Topic Children of [DIAL:0403A4C9]);;;;
33791462;[DIAL:0403A4C9];;[INFO:04039DE6] ([R]'If you've come here to hunt, there is plenty of game to be found.' in GRUP Topic Children of [DIAL:0403A4C9]);;;;
33791461;[DIAL:0403A4C9];;[INFO:04039DE5] ([R]'The wise hunter is cautious, always.' in GRUP Topic Children of [DIAL:0403A4C9]);;;;
33791460;[DIAL:0403A4C9];;[INFO:04039DE4] ([R]'We hunt not only to eat, but also to test our skill.' in GRUP Topic Children of [DIAL:0403A4C9]);;;;
33793225;;[DIAL:0403A4C9];;;DLC2DialogueGenericHunter [QUST:0403A4CB];;
33791469;[DIAL:0403A4C8];;[INFO:04039DED] ([R][RE]'Peace and bountiful harvests to you.' in GRUP Topic Children of [DIAL:0403A4C8]);;;;
33791468;[DIAL:0403A4C8];;[INFO:04039DEC] ([R]'Be careful out there. Solstheim is full of dangers.' in GRUP Topic Children of [DIAL:0403A4C8]);;;;
33791467;[DIAL:0403A4C8];;[INFO:04039DEB] ([R]'May your eyes be sharp and your aim true.' in GRUP Topic Children of [DIAL:0403A4C8]);;;;
33791466;[DIAL:0403A4C8];;[INFO:04039DEA] ([R]'All-Maker keep you safe.' in GRUP Topic Children of [DIAL:0403A4C8]);;;;
33793224;;[DIAL:0403A4C8];;;DLC2DialogueGenericHunter [QUST:0403A4CB];;
33793196;DialogueFollowerSharedInfo [DIAL:0403A4AB];;DLC2RieklingRefusal [INFO:0403A4AC] ('Joooo fah!' in GRUP Topic Children of DialogueFollowerSharedInfo [DIAL:0403A4AB]);;;;
33793195;;DialogueFollowerSharedInfo [DIAL:0403A4AB];;;DialogueFollower [QUST:000750BA];;
33793190;DLC2DialogueSkaalVillageBaldorBranchTopic1 "Tell me about forging Stalhlrim." [DIAL:0403A4A5];;[INFO:0403A4A6] ('Well, first you'll need to obtain some Stalhrim, of course, and then you'll need to work it.' in GRUP Topic Children of DLC2DialogueSkaalVillageBaldorBranchTopic1 "Tell me about forging Stalhlrim." [DIAL:0403A4A5]);;;;
33793189;;DLC2DialogueSkaalVillageBaldorBranchTopic1 "Tell me about forging Stalhlrim." [DIAL:0403A4A5];;Tell me about forging Stalhlrim.;DLC2DialogueSkaalVillage "Skaal Village Dialogue" [QUST:04019B49];;
33793192;DLC2DialogueSkaalVillageBaldorBranchTopic2 "Where can I obtain Stalhrim?" [DIAL:0403A4A4];;[INFO:0403A4A8] ('You can find some in Raven Rock Mine, as well as that new source of Stalhrim on the map you recovered from the elves.' in GRUP Topic Children of DLC2DialogueSkaalVillageBaldorBranchTopic2 "Where can I obtain Stalhrim?" [DIAL:0403A4A4]);;;;
33793188;;DLC2DialogueSkaalVillageBaldorBranchTopic2 "Where can I obtain Stalhrim?" [DIAL:0403A4A4];;Where can I obtain Stalhrim?;DLC2DialogueSkaalVillage "Skaal Village Dialogue" [QUST:04019B49];;
33793191;DLC2DialogueSkaalVillageBaldorBranchTopic3 "Once I've got Stalhrim, how do I forge it into something useful?" [DIAL:0403A4A3];;[INFO:0403A4A7] ('With skill and patience. It's very much like working ebony.' in GRUP Topic Children of DLC2DialogueSkaalVillageBaldorBranchTopic3 "Once I've got Stalhrim, how do I forge it into something useful?" [DIAL:0403A4A3]);;;;
33793187;;DLC2DialogueSkaalVillageBaldorBranchTopic3 "Once I've got Stalhrim, how do I forge it into something useful?" [DIAL:0403A4A3];;Once I've got Stalhrim, how do I forge it into something useful?;DLC2DialogueSkaalVillage "Skaal Village Dialogue" [QUST:04019B49];;
33793183;[DIAL:0403A49A];;DLC2BardInstrumental05 [INFO:0403A49F] (in GRUP Topic Children of [DIAL:0403A49A]);;;;
33793182;[DIAL:0403A49A];;DLC2BardInstrumental04 [INFO:0403A49E] (in GRUP Topic Children of [DIAL:0403A49A]);;;;
33793181;[DIAL:0403A49A];;DLC2BardInstrumental03 [INFO:0403A49D] (in GRUP Topic Children of [DIAL:0403A49A]);;;;
33793180;[DIAL:0403A49A];;DLC2BardInstrumental02 [INFO:0403A49C] (in GRUP Topic Children of [DIAL:0403A49A]);;;;
33793179;[DIAL:0403A49A];;DLC2BardInstrumental01 [INFO:0403A49B] (in GRUP Topic Children of [DIAL:0403A49A]);;;;
33793178;;[DIAL:0403A49A];;;DLC2dunInstrumentalQST [QUST:04029EFF];;
33793150;DLC2DialogueTalvasFollowTopic "Follow me. I need your help." [DIAL:0403A47D];;[INFO:0403A47E] ([G]'I suppose Master Neloth won't mind. He's always telling me to get out of his way.' in GRUP Topic Children of DLC2DialogueTalvasFollowTopic "Follow me. I need your help." [DIAL:0403A47D]);;;DLC2_TIF__0203A47E;
33793149;;DLC2DialogueTalvasFollowTopic "Follow me. I need your help." [DIAL:0403A47D];;Follow me. I need your help.;DLC2DialogueTelMithryn [QUST:04017E85];;
