Record;[0];[0]\[3];[1]\[3];FULL;QNAM;[2]\[2]\[0]\[0];RNAM
175574382;[DIAL:07770D6D];;[INFO:07770D6E] (in GRUP Topic Children of [DIAL:07770D6D]);;;;
175574381;;[DIAL:07770D6D];;;CreatureDialogueSkeleton "CreatureDialogueSkeleton" [QUST:000BFB2C];;
1062329;DialogueWinterholdCollegeTolfdirAuguLoreTopicUSKP "DialogueWinterholdCollegeTolfdirAuguLoreTopicUSKP" [DIAL:07066CBC];;[INFO:001035B9] ('Do you remember what I first told you, about how not being able to control magic could destroy you?' in GRUP Topic Children of DialogueWinterholdCollegeTolfdirAuguLoreTopicUSKP "DialogueWinterholdCollegeTolfdirAuguLoreTopicUSKP" [DIAL:07066CBC]);;;;What accident?
168193212;;DialogueWinterholdCollegeTolfdirAuguLoreTopicUSKP "DialogueWinterholdCollegeTolfdirAuguLoreTopicUSKP" [DIAL:07066CBC];;DialogueWinterholdCollegeTolfdirAuguLoreTopicUSKP;DialogueWinterholdCollege "Winterhold College Dialogue" [QUST:0003618F];;
168067181;[DIAL:0704806C];;[INFO:0704806D] ([R][RE] in GRUP Topic Children of [DIAL:0704806C]);;;;
168067180;;[DIAL:0704806C];;;CreatureDialogueGiant "CreatureDialogueGiant" [QUST:0006ABD7];;
135910276;ccBGSSSE025_StaadaQuest_GiveAmberBranch "I believe I have what you're looking for. (Give Sheogorath-Shaped Amber)" [DIAL:0619D381];;[INFO:0619D384] (in GRUP Topic Children of ccBGSSSE025_StaadaQuest_GiveAmberBranch "I believe I have what you're looking for. (Give Sheogorath-Shaped Amber)" [DIAL:0619D381]);;;TIF_ccBGSSSE025_StaadaFrag;
135910273;;ccBGSSSE025_StaadaQuest_GiveAmberBranch "I believe I have what you're looking for. (Give Sheogorath-Shaped Amber)" [DIAL:0619D381];;I believe I have what you're looking for. (Give Sheogorath-Shaped Amber);ccBGSSSE025_StaadaQuest "Staada Quest" [QUST:06198277];;
135931138;ccBGSSSE025_StaadaQuest_AmberBranchTopic "You must be the one who sent that note." [DIAL:0619D37F];;[INFO:061A2502] (in GRUP Topic Children of ccBGSSSE025_StaadaQuest_AmberBranchTopic "You must be the one who sent that note." [DIAL:0619D37F]);;;TIF_ccBGSSSE025_StaadaFragA;You're clearly far from home. Are you looking for something?
135910272;ccBGSSSE025_StaadaQuest_AmberBranchTopic "You must be the one who sent that note." [DIAL:0619D37F];;[INFO:0619D380] (in GRUP Topic Children of ccBGSSSE025_StaadaQuest_AmberBranchTopic "You must be the one who sent that note." [DIAL:0619D37F]);;;TIF_ccBGSSSE025_StaadaFrag0;
135910271;;ccBGSSSE025_StaadaQuest_AmberBranchTopic "You must be the one who sent that note." [DIAL:0619D37F];;You must be the one who sent that note.;ccBGSSSE025_StaadaQuest "Staada Quest" [QUST:06198277];;
134222007;ccBGSSSE025_ElytraPet_ManiaYES [DIAL:060010B6];;[INFO:060010B7] ([G] in GRUP Topic Children of ccBGSSSE025_ElytraPet_ManiaYES [DIAL:060010B6]);;;ccBGSSSE025_TIF__0503093A;All right, let's go.
134222006;;ccBGSSSE025_ElytraPet_ManiaYES [DIAL:060010B6];;;ccBGSSSE025_ElytraPetAcquisition_Mania "My Pet Elytra (Mania)" [QUST:060010C3];;
83889288;ccBGSSSE001_Radiant_2_TurnInTopic [DIAL:05000C87];;[INFO:05000C88] (in GRUP Topic Children of ccBGSSSE001_Radiant_2_TurnInTopic [DIAL:05000C87]);;;ccBGSSSE001_TIF__05000C88;Here is the pygmy sunfish for your next experiment.
83889287;;ccBGSSSE001_Radiant_2_TurnInTopic [DIAL:05000C87];;;ccBGSSSE001_Radiant_2 "Further Study" [QUST:05000C2F];;
67347622;DLC2DialogueSkaalVillageBaldorBranchTopic1 "Tell me about forging stalhrim." [DIAL:0403A4A5];;[INFO:0403A4A6] ('Well, first you'll need to obtain some stalhrim, of course, and then you'll need to work it.' in GRUP Topic Children of DLC2DialogueSkaalVillageBaldorBranchTopic1 "Tell me about forging stalhrim." [DIAL:0403A4A5]);;;;
67347621;;DLC2DialogueSkaalVillageBaldorBranchTopic1 "Tell me about forging stalhrim." [DIAL:0403A4A5];;Tell me about forging stalhrim.;DLC2DialogueSkaalVillage "Skaal Village Dialogue" [QUST:04019B49];;
67347624;DLC2DialogueSkaalVillageBaldorBranchTopic2 "Where can I obtain stalhrim?" [DIAL:0403A4A4];;[INFO:0403A4A8] ('You can find some in Raven Rock Mine, as well as that new source of stalhrim on the map you recovered from the elves.' in GRUP Topic Children of DLC2DialogueSkaalVillageBaldorBranchTopic2 "Where can I obtain stalhrim?" [DIAL:0403A4A4]);;;;
67347620;;DLC2DialogueSkaalVillageBaldorBranchTopic2 "Where can I obtain stalhrim?" [DIAL:0403A4A4];;Where can I obtain stalhrim?;DLC2DialogueSkaalVillage "Skaal Village Dialogue" [QUST:04019B49];;
67347623;DLC2DialogueSkaalVillageBaldorBranchTopic3 "Once I've got stalhrim, how do I forge it into something useful?" [DIAL:0403A4A3];;[INFO:0403A4A7] ('With skill and patience. It's very much like working ebony.' in GRUP Topic Children of DLC2DialogueSkaalVillageBaldorBranchTopic3 "Once I've got stalhrim, how do I forge it into something useful?" [DIAL:0403A4A3]);;;;
67347619;;DLC2DialogueSkaalVillageBaldorBranchTopic3 "Once I've got stalhrim, how do I forge it into something useful?" [DIAL:0403A4A3];;Once I've got stalhrim, how do I forge it into something useful?;DLC2DialogueSkaalVillage "Skaal Village Dialogue" [QUST:04019B49];;
67347188;[DIAL:0403A2EA];;[INFO:0403A2F4] ('Unearthly screams?' in GRUP Topic Children of [DIAL:0403A2EA]);;;;
67347178;;[DIAL:0403A2EA];;;DLC2TelMithrynDrovasTalvasScene02 [QUST:0403A31B];;
67347210;[DIAL:0403A2E9];;[INFO:0403A30A] ('Oh, you better get used to this, Drovas. This isn't that unusual for Tel Mithryn.' in GRUP Topic Children of [DIAL:0403A2E9]);;;;
67347177;;[DIAL:0403A2E9];;;DLC2TelMithrynDrovasTalvasScene02 [QUST:0403A31B];;
67346372;DLC2TelMithrynMorrowindTopic "What can you tell me about Morrowind?" [DIAL:04039FBC];;[INFO:04039FC4] ([R][RE]'It's the homeland of the Dunmer. The lesser races call us Dark Elves.' in GRUP Topic Children of DLC2TelMithrynMorrowindTopic "What can you tell me about Morrowind?" [DIAL:04039FBC]);;;;
67346370;DLC2TelMithrynMorrowindTopic "What can you tell me about Morrowind?" [DIAL:04039FBC];;[INFO:04039FC2] ([R]'There is the big island of Vvardenfell, and the coastal mainland.' in GRUP Topic Children of DLC2TelMithrynMorrowindTopic "What can you tell me about Morrowind?" [DIAL:04039FBC]);;;;
67346367;DLC2TelMithrynMorrowindTopic "What can you tell me about Morrowind?" [DIAL:04039FBC];;[INFO:04039FBF] ([R]'You are too young to remember the Nerevarine. Defeated Dagoth Ur and saved us all from the blight.' in GRUP Topic Children of DLC2TelMithrynMorrowindTopic "What can you tell me about Morrowind?" [DIAL:04039FBC]);;;;
67346364;;DLC2TelMithrynMorrowindTopic "What can you tell me about Morrowind?" [DIAL:04039FBC];;What can you tell me about Morrowind?;DLC2DialogueTelMithryn [QUST:04017E85];;
67345871;DLC2DRRGjalundMQIntroB1 "Solstheim? Where's that?" [DIAL:04039DC6];;[INFO:04039DCF] ('Surprised you've never heard of it.' in GRUP Topic Children of DLC2DRRGjalundMQIntroB1 "Solstheim? Where's that?" [DIAL:04039DC6]);;;;
67345862;;DLC2DRRGjalundMQIntroB1 "Solstheim? Where's that?" [DIAL:04039DC6];;Solstheim? Where's that?;DLC2DialogueRavenRock "Raven Rock Dialogue" [QUST:04018B0F];;
67344998;DLC2WE15Netch "A Netch?" [DIAL:04039A64];;[INFO:04039A66] ('The giant air-floaters from the Dark Elf lands. Only the brave dare to hunt them, only the strong survive them.' in GRUP Topic Children of DLC2WE15Netch "A Netch?" [DIAL:04039A64]);;;;
67344996;;DLC2WE15Netch "A Netch?" [DIAL:04039A64];;A Netch?;DLC2WE15 "Netch Hunting Party" [QUST:04039A77];;
67344323;DLC2DDRMorvaynMineBranchTopic "What happened to the mine?" [DIAL:040397C2];;[INFO:040397C3] ('It used to be one of the richest ebony mines in Morrowind, but it dried out years ago.' in GRUP Topic Children of DLC2DDRMorvaynMineBranchTopic "What happened to the mine?" [DIAL:040397C2]);;;;
67344322;;DLC2DDRMorvaynMineBranchTopic "What happened to the mine?" [DIAL:040397C2];;What happened to the mine?;DLC2DialogueRavenRock "Raven Rock Dialogue" [QUST:04018B0F];;
67344153;[DIAL:04039713];;[INFO:04039719] ('I'm not chasing that map. It's a fool's errand. I'm done. Leave me alone.' in GRUP Topic Children of [DIAL:04039713]);;;;
67344147;;[DIAL:04039713];;;DLC2WE13 "Arguing about Haknir" [QUST:0403971F];;
67342934;DLC2HirelingQuestStoryBranchTopic "How did you end up on Solstheim?" [DIAL:04039250];;[INFO:04039256] ('Long story, but I don't see the harm in sharing it with you.' in GRUP Topic Children of DLC2HirelingQuestStoryBranchTopic "How did you end up on Solstheim?" [DIAL:04039250]);;;;
67342928;;DLC2HirelingQuestStoryBranchTopic "How did you end up on Solstheim?" [DIAL:04039250];;How did you end up on Solstheim?;DLC2HirelingQuest "DLC2 Hireling Quest" [QUST:04038566];;
67342865;DLC2DialogueSkaalVillageFreaBranch4Topic1 "Where is your mother?" [DIAL:040391FE];;[INFO:04039211] ('She died when I was very young.' in GRUP Topic Children of DLC2DialogueSkaalVillageFreaBranch4Topic1 "Where is your mother?" [DIAL:040391FE]);;;;
67342846;;DLC2DialogueSkaalVillageFreaBranch4Topic1 "Where is your mother?" [DIAL:040391FE];;Where is your mother?;DLC2DialogueSkaalVillage "Skaal Village Dialogue" [QUST:04019B49];;
